Time,Queue Size,Event
8.585599999999983,3,size
8.585599999999983,4,size
8.585599999999983,5,size
8.585599999999983,6,size
8.585599999999983,7,size
8.585599999999983,8,size
8.585599999999983,9,size
8.585599999999983,10,size
8.585599999999983,10,drop
8.585599999999983,10,drop
8.585599999999983,10,drop
8.585599999999983,10,drop
8.585599999999983,10,drop
8.585599999999983,10,drop
8.585599999999983,10,drop
8.585599999999983,10,drop
8.585599999999983,10,drop
8.586399999999983,9,size
8.587199999999983,8,size
8.587999999999983,7,size
8.588799999999983,6,size
8.589599999999983,5,size
8.590399999999983,4,size
8.591199999999983,3,size
8.591999999999983,2,size
8.592799999999983,1,size
8.593599999999983,0,size
9.655999999999981,1,size
9.655999999999981,2,size
9.655999999999981,3,size
9.655999999999981,4,size
9.655999999999981,5,size
9.655999999999981,6,size
9.655999999999981,7,size
9.655999999999981,8,size
9.655999999999981,9,size
9.655999999999981,10,size
9.655999999999981,10,drop
9.655999999999981,10,drop
9.655999999999981,10,drop
9.655999999999981,10,drop
9.655999999999981,10,drop
9.655999999999981,10,drop
9.655999999999981,10,drop
9.655999999999981,10,drop
9.655999999999981,10,drop
9.656799999999981,9,size
9.65759999999998,8,size
9.65839999999998,7,size
9.65919999999998,6,size
9.65999999999998,5,size
9.66079999999998,4,size
9.66159999999998,3,size
9.66239999999998,2,size
9.66319999999998,1,size
9.66399999999998,0,size
9.68239999999998,1,size
9.68239999999998,2,size
9.68239999999998,3,size
9.68239999999998,4,size
9.68239999999998,5,size
9.68239999999998,6,size
9.68239999999998,7,size
9.68239999999998,8,size
9.68239999999998,9,size
9.68239999999998,10,size
9.68239999999998,10,drop
9.68319999999998,9,size
9.68399999999998,8,size
9.68479999999998,7,size
9.68559999999998,6,size
9.68639999999998,5,size
9.68719999999998,4,size
9.68799999999998,3,size
9.68879999999998,2,size
9.68959999999998,1,size
9.690399999999979,0,size
10.731999999999978,1,size
10.731999999999978,2,size
10.731999999999978,3,size
10.731999999999978,4,size
10.731999999999978,5,size
10.731999999999978,6,size
10.731999999999978,7,size
10.731999999999978,8,size
10.731999999999978,9,size
10.731999999999978,10,size
10.731999999999978,10,drop
10.731999999999978,10,drop
10.731999999999978,10,drop
10.731999999999978,10,drop
10.731999999999978,10,drop
10.731999999999978,10,drop
10.731999999999978,10,drop
10.731999999999978,10,drop
10.731999999999978,10,drop
10.732799999999978,9,size
10.733599999999978,8,size
10.734399999999978,7,size
10.735199999999978,6,size
10.735999999999978,5,size
10.736799999999977,4,size
10.737599999999977,3,size
10.738399999999977,2,size
10.739199999999977,1,size
10.739999999999977,0,size
11.802399999999976,1,size
11.802399999999976,2,size
11.802399999999976,3,size
11.802399999999976,4,size
11.802399999999976,5,size
11.802399999999976,6,size
11.802399999999976,7,size
11.802399999999976,8,size
11.802399999999976,9,size
11.802399999999976,10,size
11.802399999999976,10,drop
11.802399999999976,10,drop
11.802399999999976,10,drop
11.802399999999976,10,drop
11.802399999999976,10,drop
11.802399999999976,10,drop
11.802399999999976,10,drop
11.802399999999976,10,drop
11.802399999999976,10,drop
11.803199999999975,9,size
11.803999999999975,8,size
11.804799999999975,7,size
11.805599999999975,6,size
11.806399999999975,5,size
11.807199999999975,4,size
11.807999999999975,3,size
11.808799999999975,2,size
11.809599999999975,1,size
11.810399999999975,0,size
11.828799999999974,1,size
11.828799999999974,2,size
11.828799999999974,3,size
11.828799999999974,4,size
11.828799999999974,5,size
11.828799999999974,6,size
11.828799999999974,7,size
11.828799999999974,8,size
11.828799999999974,9,size
11.828799999999974,10,size
11.828799999999974,10,drop
11.829599999999974,9,size
11.830399999999974,8,size
11.831199999999974,7,size
11.831999999999974,6,size
11.832799999999974,5,size
11.833599999999974,4,size
11.834399999999974,3,size
11.835199999999974,2,size
11.835999999999974,1,size
11.836799999999974,0,size
12.878399999999973,1,size
12.878399999999973,2,size
12.878399999999973,3,size
12.878399999999973,4,size
12.878399999999973,5,size
12.878399999999973,6,size
12.878399999999973,7,size
12.878399999999973,8,size
12.878399999999973,9,size
12.878399999999973,10,size
12.878399999999973,10,drop
12.878399999999973,10,drop
12.878399999999973,10,drop
12.878399999999973,10,drop
12.878399999999973,10,drop
12.878399999999973,10,drop
12.878399999999973,10,drop
12.878399999999973,10,drop
12.878399999999973,10,drop
12.879199999999972,9,size
12.879999999999972,8,size
12.880799999999972,7,size
12.881599999999972,6,size
12.882399999999972,5,size
12.883199999999972,4,size
12.883999999999972,3,size
12.884799999999972,2,size
12.885599999999972,1,size
12.886399999999972,0,size
13.94879999999997,1,size
13.94879999999997,2,size
13.94879999999997,3,size
13.94879999999997,4,size
13.94879999999997,5,size
13.94879999999997,6,size
13.94879999999997,7,size
13.94879999999997,8,size
13.94879999999997,9,size
13.94879999999997,10,size
13.94879999999997,10,drop
13.94879999999997,10,drop
13.94879999999997,10,drop
13.94879999999997,10,drop
13.94879999999997,10,drop
13.94879999999997,10,drop
13.94879999999997,10,drop
13.94879999999997,10,drop
13.94879999999997,10,drop
13.94959999999997,9,size
13.95039999999997,8,size
13.95119999999997,7,size
13.95199999999997,6,size
13.95279999999997,5,size
13.95359999999997,4,size
13.95439999999997,3,size
13.95519999999997,2,size
13.95599999999997,1,size
13.95679999999997,0,size
13.975199999999969,1,size
13.975199999999969,2,size
13.975199999999969,3,size
13.975199999999969,4,size
13.975199999999969,5,size
13.975199999999969,6,size
13.975199999999969,7,size
13.975199999999969,8,size
13.975199999999969,9,size
13.975199999999969,10,size
13.975199999999969,10,drop
13.975999999999969,9,size
13.976799999999969,8,size
13.977599999999969,7,size
13.978399999999969,6,size
13.979199999999969,5,size
13.979999999999968,4,size
13.980799999999968,3,size
13.981599999999968,2,size
13.982399999999968,1,size
13.983199999999968,0,size
15.024799999999967,1,size
15.024799999999967,2,size
15.024799999999967,3,size
15.024799999999967,4,size
15.024799999999967,5,size
15.024799999999967,6,size
15.024799999999967,7,size
15.024799999999967,8,size
15.024799999999967,9,size
15.024799999999967,10,size
15.024799999999967,10,drop
15.024799999999967,10,drop
15.024799999999967,10,drop
15.024799999999967,10,drop
15.024799999999967,10,drop
15.024799999999967,10,drop
15.024799999999967,10,drop
15.024799999999967,10,drop
15.024799999999967,10,drop
15.025599999999967,9,size
15.026399999999967,8,size
15.027199999999967,7,size
15.027999999999967,6,size
15.028799999999967,5,size
15.029599999999967,4,size
15.030399999999966,3,size
15.031199999999966,2,size
15.031999999999966,1,size
15.032799999999966,0,size
16.095199999999966,1,size
16.095199999999966,2,size
16.095199999999966,3,size
16.095199999999966,4,size
16.095199999999966,5,size
16.095199999999966,6,size
16.095199999999966,7,size
16.095199999999966,8,size
16.095199999999966,9,size
16.095199999999966,10,size
16.095199999999966,10,drop
16.095199999999966,10,drop
16.095199999999966,10,drop
16.095199999999966,10,drop
16.095199999999966,10,drop
16.095199999999966,10,drop
16.095199999999966,10,drop
16.095199999999966,10,drop
16.095199999999966,10,drop
16.095999999999968,9,size
16.09679999999997,8,size
16.09759999999997,7,size
16.098399999999973,6,size
16.099199999999975,5,size
16.099999999999977,4,size
16.10079999999998,3,size
16.10159999999998,2,size
16.10239999999998,1,size
16.103199999999983,0,size
16.12159999999998,1,size
16.12159999999998,2,size
16.12159999999998,3,size
16.12159999999998,4,size
16.12159999999998,5,size
16.12159999999998,6,size
16.12159999999998,7,size
16.12159999999998,8,size
16.12159999999998,9,size
16.12159999999998,10,size
16.12159999999998,10,drop
16.12239999999998,9,size
16.123199999999983,8,size
16.123999999999985,7,size
16.124799999999986,6,size
16.125599999999988,5,size
16.12639999999999,4,size
16.12719999999999,3,size
16.127999999999993,2,size
16.128799999999995,1,size
16.129599999999996,0,size
17.1712,1,size
17.1712,2,size
17.1712,3,size
17.1712,4,size
17.1712,5,size
17.1712,6,size
17.1712,7,size
17.1712,8,size
17.1712,9,size
17.1712,10,size
17.1712,10,drop
17.1712,10,drop
17.1712,10,drop
17.1712,10,drop
17.1712,10,drop
17.1712,10,drop
17.1712,10,drop
17.1712,10,drop
17.1712,10,drop
17.172,9,size
17.172800000000002,8,size
17.173600000000004,7,size
17.174400000000006,6,size
17.175200000000007,5,size
17.17600000000001,4,size
17.17680000000001,3,size
17.177600000000012,2,size
17.178400000000014,1,size
17.179200000000016,0,size
18.24160000000002,1,size
18.24160000000002,2,size
18.24160000000002,3,size
18.24160000000002,4,size
18.24160000000002,5,size
18.24160000000002,6,size
18.24160000000002,7,size
18.24160000000002,8,size
18.24160000000002,9,size
18.24160000000002,10,size
18.24160000000002,10,drop
18.24160000000002,10,drop
18.24160000000002,10,drop
18.24160000000002,10,drop
18.24160000000002,10,drop
18.24160000000002,10,drop
18.24160000000002,10,drop
18.24160000000002,10,drop
18.24160000000002,10,drop
18.24240000000002,9,size
18.243200000000023,8,size
18.244000000000025,7,size
18.244800000000026,6,size
18.245600000000028,5,size
18.24640000000003,4,size
